timestamp,accx,accy,accz
11:19:14.582,-0.604,0.414,0.355
11:19:14.872,-0.829,0.187,0.803
11:19:15.019,-0.687,0.156,0.858
11:19:15.213,-0.478,0.256,0.76
11:19:15.408,-0.459,0.317,0.75
11:19:15.604,-0.408,0.379,0.763
11:19:15.848,-0.401,0.388,0.834
11:19:16.042,-0.428,0.37,0.797
11:19:16.238,-0.369,0.393,0.819
11:19:16.384,-0.396,0.413,0.83
11:19:16.578,-0.354,0.407,0.899
11:19:16.775,-0.306,0.462,0.808
11:19:16.970,-0.258,0.543,0.705
11:19:17.163,-0.308,0.536,0.77
11:19:17.406,-0.254,0.55,0.815
11:19:17.553,-0.271,0.566,0.732
11:19:17.749,-0.223,0.549,0.778
11:19:18.041,-0.282,0.585,0.758
11:19:18.138,-0.252,0.586,0.75
11:19:18.431,-0.267,0.549,0.819
11:19:18.528,-0.265,0.558,0.75
11:19:18.772,-0.273,0.553,0.767
11:19:18.967,-0.27,0.576,0.762
11:19:19.162,-0.259,0.574,0.745
11:19:19.357,-0.289,0.563,0.791
11:19:19.554,-0.27,0.542,0.775
11:19:19.746,-0.283,0.544,0.786
11:19:19.941,-0.285,0.511,0.797
11:19:20.185,-0.429,0.413,0.872
11:19:20.430,-0.437,0.334,0.815
11:19:20.575,-0.55,0.424,0.742
11:19:20.723,-0.757,0.18,0.899
11:19:20.916,-0.244,0.252,0.708
11:19:21.111,-0.675,0.309,0.641
11:19:21.355,-0.74,0.324,0.713
11:19:21.550,-0.591,0.329,0.683
11:19:21.696,-0.609,0.282,0.751
11:19:21.892,-0.513,0.323,0.744
11:19:22.086,-0.595,0.395,0.765
11:19:22.281,-0.589,0.35,0.776
11:19:22.477,-0.359,0.294,0.731
11:19:22.672,-0.604,0.367,0.769
11:19:22.866,-0.573,0.395,0.679
11:19:23.062,-0.601,0.384,0.707
11:19:23.256,-0.623,0.359,0.662
11:19:23.500,-0.659,0.666,0.632
11:19:23.695,-0.147,0.258,0.691
11:19:23.890,-0.154,-0.331,0.955
11:19:24.086,-0.082,-0.571,0.933
11:19:24.280,-0.222,-0.518,1.079
11:19:24.475,-0.311,-0.845,1.067
11:19:24.670,-0.434,-0.801,0.943
11:19:24.866,-0.271,-0.405,0.866
11:19:25.060,-0.255,0.407,0.728
11:19:25.260,-0.129,0.285,1.003
11:19:25.452,0.146,0.5,0.836
11:19:25.646,0.116,0.463,0.718
11:19:25.840,0.079,0.267,0.908
11:19:26.035,0.058,0.333,0.952
11:19:26.230,-0.087,0.309,0.958
11:19:26.425,-0.021,0.395,0.938
11:19:26.620,-0.149,0.298,0.942
11:19:26.815,-0.235,0.238,0.917
11:19:27.059,-0.089,0.235,0.944
11:19:27.205,-0.121,0.264,0.906
11:19:27.448,-0.075,0.182,0.943
11:19:27.595,-0.061,0.2,0.976
11:19:27.839,-0.091,0.192,0.981
11:19:28.034,-0.112,0.21,0.996
11:19:28.229,-0.119,0.229,0.967
11:19:28.473,-0.001,0.186,0.923
11:19:28.620,-0.064,0.196,0.928
11:19:28.815,-0.085,0.207,0.968
11:19:29.009,-0.198,0.281,0.977
11:19:29.204,0.047,0.154,1.144
11:19:29.399,-0.216,0.208,0.877
11:19:29.594,-0.076,0.015,0.665
11:19:29.791,0.657,-0.151,0.694
11:19:29.986,-0.233,-0.765,1.083
11:19:30.180,0.221,-2.0,1.361
11:19:30.375,-0.48,-1.669,0.48
11:19:30.570,0.352,1.792,0.24
11:19:30.814,-0.61,0.251,0.468
11:19:31.009,0.418,-0.301,1.586
11:19:31.155,-0.426,0.445,0.465
11:19:31.349,-0.117,-0.883,0.594
11:19:31.594,0.302,0.337,0.78
11:19:31.741,-0.602,-0.44,0.885
11:19:31.934,-0.416,-0.108,0.828
11:19:32.179,-0.925,-0.728,0.793
11:19:32.373,-0.506,-0.362,0.4
11:19:32.568,-0.7,-0.209,0.633
11:19:32.764,-0.656,-0.034,0.681
11:19:33.007,-0.879,-0.356,0.7
11:19:33.153,-0.684,-0.295,0.667
11:19:33.349,-0.56,-0.259,0.599
11:19:33.545,-0.671,-0.254,0.603
11:19:33.738,-0.705,-0.598,0.602
11:19:33.933,-0.604,-0.569,0.259
11:19:34.128,-0.431,-0.66,0.237
11:19:34.323,-0.413,-0.674,0.156
11:19:34.521,-0.204,-0.662,0.229
11:19:34.713,-0.123,-1.285,0.1
11:19:34.958,0.02,-0.945,0.135
11:19:35.104,-0.205,-0.917,-0.238
11:19:35.299,-0.464,-1.36,0.129
11:19:35.494,-0.511,-0.86,-0.258
11:19:35.690,-0.536,-0.742,0.061
11:19:35.885,-0.642,-0.755,0.148
11:19:36.080,-0.69,-0.723,0.16
11:19:36.275,-0.747,-0.664,0.217
11:19:36.566,-0.715,-0.685,0.226
11:19:36.712,-0.689,-0.662,0.297
11:19:36.908,-0.75,-0.733,0.175
11:19:37.104,-0.774,-0.712,0.548
11:19:37.299,-0.936,-0.548,0.569
11:19:37.493,-0.28,-0.63,0.585
11:19:37.687,0.242,-0.548,0.473
11:19:37.883,0.244,-0.692,0.688
11:19:38.077,0.31,-0.071,1.215
11:19:38.273,-0.005,-0.387,1.278
11:19:38.467,0.182,0.273,0.831
11:19:38.662,0.043,0.426,0.291
11:19:38.858,0.174,0.478,0.892
11:19:39.053,-0.257,-0.042,1.271
11:19:39.247,0.208,-0.236,0.949
11:19:39.443,0.525,-0.182,0.93
11:19:39.637,0.499,-0.178,0.8
11:19:39.833,0.335,0.102,0.901
11:19:40.027,0.409,-0.517,0.847
11:19:40.223,0.446,-0.295,0.833
11:19:40.417,0.582,-0.271,0.712
11:19:40.661,0.486,-0.307,0.842
11:19:40.856,0.445,-0.174,0.673
11:19:41.052,0.693,-0.31,0.739
11:19:41.246,0.649,-0.277,0.846
11:19:41.442,0.17,-0.327,1.01
11:19:41.636,0.294,-0.268,0.839
11:19:41.831,0.215,-0.315,0.939
11:19:42.028,0.269,-0.319,0.907
11:19:42.221,0.282,-0.346,0.902
11:19:42.416,0.256,-0.312,0.88
11:19:42.611,0.317,-0.35,0.894
11:19:42.807,0.324,-0.327,0.925
11:19:43.002,0.306,-0.313,0.863
11:19:43.197,0.278,-0.317,0.901
11:19:43.391,0.293,-0.325,0.887
11:19:43.586,0.306,-0.301,0.934
11:19:43.782,0.319,-0.298,0.924
11:19:43.977,0.327,-0.322,0.935
11:19:44.171,0.335,-0.336,0.924
11:19:44.366,0.292,-0.327,0.909
11:19:44.562,0.309,-0.316,0.87
11:19:44.756,0.324,-0.352,0.909
11:19:45.001,0.462,-0.356,0.88
11:19:45.195,0.369,-0.378,0.885
11:19:45.389,0.35,-0.35,0.835
11:19:45.587,0.402,-0.369,0.88
11:19:45.780,0.383,-0.402,0.849
11:19:45.975,0.369,-0.412,0.884
11:19:46.170,0.451,-0.35,0.843
11:19:46.366,0.357,-0.365,0.906
11:19:46.561,0.139,-0.266,0.598
11:19:46.754,0.298,-0.662,0.89
11:19:46.950,0.032,-0.75,0.717
11:19:47.145,0.118,-0.763,0.726
11:19:47.342,0.0,-0.82,0.992
11:19:47.536,-0.089,-0.776,0.851
11:19:47.731,-0.377,-0.304,0.761
11:19:47.926,-0.26,0.02,0.772
11:19:48.121,-0.577,-0.034,1.077
11:19:48.314,-0.642,-0.124,0.87
11:19:48.510,-0.617,-0.09,0.9
11:19:48.755,-0.451,0.006,0.841
11:19:48.900,-0.526,0.031,0.894
11:19:49.096,-0.545,0.022,0.899
11:19:49.339,-0.573,0.251,0.722
11:19:49.535,-0.618,0.28,0.766
11:19:49.729,-0.512,0.27,0.827
11:19:49.972,-0.446,0.211,0.824
11:19:50.119,-0.43,0.213,0.874
11:19:50.314,-0.425,0.251,0.846
11:19:50.508,-0.411,0.251,0.863
11:19:50.753,-0.429,0.216,0.884
11:19:50.997,-0.414,0.273,0.826
11:19:51.093,-0.426,0.241,0.849
11:19:51.289,-0.407,0.243,0.893
11:19:51.484,-0.423,0.235,0.892
11:19:51.680,-0.436,0.253,0.875
11:19:51.879,-0.427,0.242,0.889
11:19:52.069,-0.326,0.23,0.842
11:19:52.313,-0.309,0.211,0.92
11:19:52.460,-0.359,0.258,0.887
11:19:52.654,-0.376,0.251,0.833
11:19:52.850,-0.399,0.286,0.874
11:19:53.045,-0.395,0.232,0.872
11:19:53.239,-0.396,0.24,0.917
11:19:53.435,-0.367,0.253,0.884
11:19:53.679,-0.39,0.26,0.893
11:19:53.874,-0.393,0.243,0.891
11:19:54.067,-0.375,0.263,0.867
11:19:54.265,-0.411,0.259,0.875
11:19:54.459,-0.382,0.256,0.854
11:19:54.653,-0.394,0.225,0.91
11:19:54.848,-0.418,0.241,0.914
11:19:55.044,-0.44,0.3,0.864
11:19:55.238,-0.424,0.288,0.854
11:19:55.433,-0.416,0.274,0.88
11:19:55.629,-0.429,0.285,0.838
11:19:55.823,-0.438,0.292,0.869
11:19:56.018,-0.399,0.228,0.913
11:19:56.214,-0.436,0.407,0.694
11:19:56.408,-0.425,0.279,0.902
11:19:56.604,-0.421,0.295,0.878
11:19:56.848,-0.341,0.326,0.878
11:19:56.993,-0.367,0.354,0.862
11:19:57.188,-0.382,0.339,0.861
11:19:57.383,-0.378,0.335,0.862
11:19:57.578,-0.364,0.334,0.859
11:19:57.773,-0.37,0.331,0.869
11:19:58.016,-0.378,0.329,0.848
11:19:58.215,-0.368,0.351,0.868
11:19:58.406,-0.353,0.337,0.855
11:19:58.601,-0.367,0.335,0.856
11:19:58.798,-0.358,0.327,0.853
11:19:58.992,-0.367,0.34,0.855
11:19:59.236,-0.359,0.35,0.848
11:19:59.382,-0.383,0.327,0.875
11:19:59.577,-0.374,0.329,0.858
11:19:59.772,-0.367,0.327,0.864
11:19:59.967,-0.363,0.325,0.861
11:20:00.161,-0.363,0.315,0.864
11:20:00.356,-0.388,0.32,0.855
11:20:00.553,-0.373,0.293,0.862
11:20:00.747,-0.374,0.312,0.853
11:20:00.942,-0.427,0.423,0.803
11:20:01.137,-0.368,0.243,0.895
11:20:01.332,-0.338,0.336,0.791
11:20:01.526,-0.374,0.312,0.956
11:20:01.722,-0.349,0.256,0.931
11:20:01.918,-0.286,0.239,0.91
11:20:02.112,-0.304,0.284,0.912
11:20:02.356,-0.353,0.332,0.874
11:20:02.551,-0.328,0.311,0.881
11:20:02.746,-0.306,0.295,0.869
11:20:02.990,-0.329,0.324,0.943
11:20:03.136,-0.285,0.27,0.918
11:20:03.331,-0.278,0.303,0.937
11:20:03.526,-0.292,0.243,0.91
11:20:03.721,-0.29,0.3,0.938
11:20:03.916,-0.327,0.305,0.944
11:20:04.111,-0.338,0.335,0.873
11:20:04.308,-0.297,0.264,0.893
11:20:04.501,-0.29,0.225,0.926
11:20:04.697,-0.377,0.323,0.826
11:20:04.891,-0.439,0.241,0.898
11:20:05.087,-0.572,0.239,0.868
11:20:05.329,-0.379,0.295,0.915
11:20:05.476,-0.313,0.273,0.913
11:20:05.671,-0.286,0.259,0.915
11:20:05.866,-0.194,0.324,0.896
11:20:06.109,-0.175,0.29,0.958
11:20:06.256,-0.235,0.281,0.889
11:20:06.451,-0.261,0.298,0.934
11:20:06.744,-0.225,0.259,0.939
11:20:06.890,-0.227,0.205,1.036
11:20:07.085,-0.323,0.338,0.843
11:20:07.279,-0.214,0.267,0.93
11:20:07.474,-0.219,0.276,0.937
11:20:07.669,-0.236,0.275,0.925
11:20:07.865,-0.211,0.273,0.918
11:20:08.060,-0.228,0.281,0.927
11:20:08.255,-0.238,0.281,0.947
11:20:08.450,-0.255,0.262,0.936
11:20:08.645,-0.289,0.291,0.924
11:20:08.839,-0.256,0.419,0.923
11:20:09.034,-0.088,0.246,0.938
11:20:09.230,0.025,0.27,0.924
11:20:09.473,-0.008,0.37,0.913
11:20:09.621,0.015,0.381,0.876
11:20:09.815,0.051,0.322,0.916
11:20:10.011,-0.003,0.353,0.907
11:20:10.253,-0.029,0.264,0.92
11:20:10.400,-0.129,0.311,0.926
11:20:10.595,-0.085,0.404,0.94
11:20:10.791,0.078,0.268,0.88
11:20:11.034,0.048,0.292,0.941
11:20:11.229,0.041,0.385,0.945
11:20:11.424,0.167,0.441,0.87
11:20:11.619,0.046,0.412,1.002
11:20:11.863,0.056,0.359,0.937
11:20:12.057,0.101,0.383,0.889
11:20:12.301,0.11,0.348,0.924
11:20:12.399,0.101,0.347,0.93
11:20:12.642,0.107,0.364,0.937
11:20:12.788,0.052,0.33,0.94
11:20:12.983,0.077,0.355,0.922
11:20:13.179,0.132,0.362,0.923
11:20:13.373,0.133,0.346,0.987
11:20:13.568,0.165,0.356,0.909
11:20:13.812,0.141,0.355,0.902
11:20:13.959,0.117,0.367,0.869
11:20:14.202,0.123,0.348,0.904
11:20:14.349,0.116,0.329,0.918
11:20:14.544,0.129,0.347,0.912
11:20:14.740,0.107,0.358,0.918
11:20:14.933,0.11,0.363,0.91
11:20:15.228,0.123,0.311,0.935
11:20:15.373,0.127,0.37,0.9
11:20:15.567,0.14,0.321,0.912
11:20:15.763,0.159,0.342,0.916
11:20:16.005,0.122,0.341,0.912
11:20:16.153,0.168,0.364,0.902
11:20:16.348,0.149,0.337,0.942
11:20:16.542,0.136,0.351,0.938
11:20:16.786,0.145,0.354,0.923
11:20:16.933,0.184,0.343,0.913
11:20:17.127,0.122,0.364,0.928
11:20:17.322,0.109,0.318,0.918
11:20:17.566,0.222,0.348,0.873
11:20:17.714,0.123,0.306,0.91
11:20:17.907,0.031,0.383,0.915
11:20:18.102,0.084,0.337,0.9
11:20:18.297,-0.031,0.351,0.94
11:20:18.492,0.015,0.332,0.921
11:20:18.687,0.029,0.339,0.943
11:20:18.883,0.006,0.331,0.937
11:20:19.077,-0.014,0.299,0.94
11:20:19.272,0.017,0.308,0.944
11:20:19.517,0.031,0.313,0.934
11:20:19.711,-0.018,0.296,0.956
11:20:19.907,-0.151,0.029,1.055
11:20:20.102,-0.021,0.05,1.029
11:20:20.295,-0.016,0.099,0.942
11:20:20.496,-0.079,0.08,1.029
11:20:20.686,-0.031,0.18,0.995
11:20:20.881,-0.052,0.18,0.99
11:20:21.077,-0.072,0.185,0.979
11:20:21.274,-0.051,0.195,0.951
11:20:21.466,-0.045,0.19,0.965
11:20:21.664,-0.151,0.193,0.95
11:20:21.905,-0.049,0.087,0.99
11:20:22.051,-0.205,0.156,0.973
11:20:22.246,-0.157,0.169,0.983
11:20:22.441,-0.12,0.188,0.991
11:20:22.636,-0.099,0.167,0.973
11:20:22.832,-0.144,0.184,0.937
11:20:23.026,-0.241,0.073,1.027
11:20:23.222,-0.158,0.092,0.944
11:20:23.416,-0.06,0.018,1.034
11:20:23.612,-0.076,0.049,0.965
11:20:23.855,-0.135,0.008,1.03
11:20:24.050,-0.118,0.058,1.0
11:20:24.247,-0.049,0.067,0.956
11:20:24.440,-0.071,0.081,0.996
11:20:24.636,-0.059,0.177,0.954
11:20:24.879,-0.075,0.204,0.989
11:20:25.025,-0.05,0.147,0.974
11:20:25.222,-0.084,0.136,1.017
11:20:25.415,-0.076,0.14,0.969
11:20:25.660,-0.061,0.189,0.998
11:20:25.805,-0.092,0.128,0.995
11:20:26.049,-0.063,0.154,0.972
11:20:26.196,0.054,0.147,0.941
11:20:26.390,-0.003,-0.181,1.27
11:20:26.587,-0.653,0.565,0.55
11:20:26.829,-0.425,0.526,0.645
11:20:26.976,0.057,0.041,0.75
11:20:27.170,0.067,-0.028,0.979
11:20:27.365,0.685,-0.413,0.679
11:20:27.560,0.407,-0.348,0.963
11:20:27.755,0.446,-0.479,0.72
11:20:27.950,0.38,-0.527,0.908
11:20:28.194,0.682,-0.438,0.736
11:20:28.389,0.542,-0.493,0.796
11:20:28.584,0.189,-0.35,0.865
11:20:28.779,0.367,-0.359,1.01
11:20:28.974,0.25,-0.39,0.904
11:20:29.169,0.208,-0.297,0.939
11:20:29.364,0.211,-0.303,0.877
11:20:29.559,0.078,-0.287,0.848
11:20:29.754,0.002,-0.441,0.967
11:20:29.949,-0.018,-0.383,0.939
11:20:30.193,0.044,-0.328,0.952
11:20:30.338,0.026,-0.439,0.937
11:20:30.534,0.054,-0.256,0.976
11:20:30.729,0.025,-0.355,0.931
11:20:30.924,0.141,-0.311,0.906
11:20:31.119,0.02,-0.272,0.952
11:20:31.314,0.037,-0.299,0.975
11:20:31.509,0.063,-0.328,0.97
11:20:31.704,0.083,-0.315,0.939
11:20:31.899,0.029,-0.331,0.967
11:20:32.096,0.035,-0.304,0.967
11:20:32.289,0.022,-0.367,0.96
11:20:32.534,0.002,-0.357,0.929
