timestamp,gyrx,gyry,gyrz
11:19:03.758,24.26,-60.69,-56.49
11:19:03.954,24.59,-59.08,-60.45
11:19:04.147,24.94,-59.13,-64.41
11:19:04.346,25.04,-59.29,-68.24
11:19:04.538,25.14,-59.65,-71.8
11:19:04.781,26.09,-59.1,-76.03
11:19:04.930,26.85,-59.2,-80.75
11:19:05.124,26.1,-59.33,-84.08
11:19:05.318,25.74,-58.93,-87.12
11:19:05.563,25.79,-59.02,-90.81
11:19:05.708,25.75,-59.03,-94.49
11:19:05.902,25.84,-59.2,-98.41
11:19:06.145,25.71,-59.41,-102.18
11:19:06.390,25.12,-59.27,-105.27
11:19:06.537,24.82,-59.29,-108.53
11:19:06.731,24.43,-59.31,-111.9
11:19:06.926,24.45,-59.34,-115.5
11:19:07.121,25.18,-59.71,-119.68
11:19:07.365,25.24,-59.61,-123.3
11:19:07.511,25.04,-59.69,-126.66
11:19:07.710,24.99,-59.38,-130.22
11:19:07.949,24.84,-59.44,-133.69
11:19:08.145,25.04,-59.62,-137.46
11:19:08.292,24.99,-59.6,-140.72
11:19:08.485,24.83,-59.4,-144.22
11:19:08.681,24.58,-59.32,-147.37
11:19:08.880,24.31,-59.23,-150.64
11:19:09.073,24.21,-59.14,-154.09
11:19:09.266,24.38,-59.09,-157.71
11:19:09.462,24.45,-59.1,-161.36
11:19:09.704,24.67,-59.28,-165.26
11:19:09.850,25.57,-59.83,-169.69
11:19:10.046,27.53,-65.2,-175.43
11:19:10.289,15.9,-69.22,-164.91
11:19:10.486,3.93,-66.25,-165.77
11:19:10.681,-1.15,-56.66,-173.74
11:19:10.875,-4.86,-50.49,175.44
11:19:11.070,-8.74,-50.98,174.96
11:19:11.267,-4.32,-52.98,168.58
11:19:11.460,-4.67,-53.46,166.46
11:19:11.656,-6.54,-54.39,164.97
11:19:11.850,-5.26,-55.63,162.38
11:19:12.045,-1.19,-55.65,157.72
11:19:12.241,-2.32,-53.11,157.18
11:19:12.436,-6.87,-51.7,158.86
11:19:12.630,-4.65,-52.61,154.62
11:19:12.826,-3.25,-51.42,151.8
11:19:13.022,-3.61,-52.42,149.99
11:19:13.216,-3.94,-53.22,147.72
11:19:13.411,-3.79,-53.84,145.36
11:19:13.605,-3.47,-54.16,141.86
11:19:13.800,-2.74,-53.7,138.96
11:19:13.995,-2.37,-53.25,135.26
11:19:14.191,2.15,-52.85,129.81
11:19:14.385,6.9,-49.87,121.12
11:19:14.583,48.55,-49.02,100.67
11:19:15.019,53.05,-53.1,95.02
11:19:15.020,47.98,-54.16,94.55
11:19:15.214,34.88,-52.11,100.74
11:19:15.408,28.51,-48.14,102.16
11:19:15.604,26.31,-45.9,99.77
11:19:15.848,24.15,-44.18,97.78
11:19:16.042,23.14,-41.53,94.82
11:19:16.238,20.95,-39.76,91.79
11:19:16.385,18.36,-37.7,88.93
11:19:16.578,17.57,-33.74,88.51
11:19:16.775,10.66,-30.93,85.16
11:19:17.017,7.49,-31.26,82.52
11:19:17.163,7.68,-31.55,80.95
11:19:17.456,5.71,-31.7,78.77
11:19:17.553,3.92,-31.47,77.58
11:19:17.749,3.23,-32.14,75.38
11:19:18.042,2.24,-33.53,73.25
11:19:18.138,2.88,-34.81,71.26
11:19:18.433,2.26,-35.61,70.24
11:19:18.528,2.44,-36.15,67.76
11:19:18.772,2.92,-36.42,65.4
11:19:18.968,2.93,-36.8,63.0
11:19:19.163,3.3,-37.0,60.63
11:19:19.457,3.04,-37.14,58.29
11:19:19.554,4.3,-37.81,56.01
11:19:19.746,4.57,-37.92,54.15
11:19:19.942,8.58,-38.95,51.46
11:19:20.185,7.88,-37.89,51.39
11:19:20.430,-14.31,-46.8,90.74
11:19:20.575,-41.89,-32.81,151.26
11:19:20.723,-98.34,-64.06,-146.91
11:19:20.916,-103.07,-58.11,-120.54
11:19:21.112,-103.6,-59.38,-106.79
11:19:21.404,-82.13,-61.62,-119.67
11:19:21.550,-60.34,-61.91,-136.24
11:19:21.696,-51.83,-61.17,-138.66
11:19:21.892,-43.8,-61.88,-141.12
11:19:22.086,-36.82,-59.84,-142.12
11:19:22.282,-38.19,-54.95,-137.02
11:19:22.477,-33.94,-60.1,-138.42
11:19:22.673,-12.38,-63.73,-158.5
11:19:22.867,-3.58,-62.48,-170.49
11:19:23.062,0.69,-62.07,-177.37
11:19:23.256,5.8,-62.9,-179.77
11:19:23.500,6.42,-57.93,-168.02
11:19:23.695,-1.88,-46.85,-145.93
11:19:23.890,32.36,-36.46,-156.68
11:19:24.086,46.13,-32.17,-163.0
11:19:24.281,46.79,-27.56,-157.87
11:19:24.475,52.77,-27.6,-165.75
11:19:24.670,48.21,-40.58,-165.99
11:19:24.871,20.51,-49.62,-159.34
11:19:25.064,18.46,-38.19,-176.59
11:19:25.296,9.23,-17.71,170.48
11:19:25.453,7.49,5.55,151.8
11:19:25.646,10.31,13.24,141.93
11:19:25.840,16.08,7.53,140.54
11:19:26.035,13.43,3.94,137.2
11:19:26.230,11.54,-2.48,134.4
11:19:26.425,12.54,-10.07,131.69
11:19:26.668,14.43,-16.09,128.09
11:19:26.815,16.16,-17.67,126.34
11:19:27.059,17.1,-19.64,125.15
11:19:27.206,18.35,-19.11,125.28
11:19:27.449,16.93,-19.37,123.84
11:19:27.595,17.44,-19.95,122.33
