timestamp,accx,accy,accz
11:02:48.393,-0.371,0.014,0.919
11:02:48.587,-0.371,0.013,0.905
11:02:48.794,-0.422,-0.014,0.934
11:02:48.975,-0.378,0.002,0.931
11:02:49.171,-0.373,-0.012,0.923
11:02:49.367,-0.372,-0.008,0.925
11:02:49.561,-0.384,-0.012,0.913
11:02:49.756,-0.398,0.0,0.935
11:02:49.950,-0.367,0.0,0.937
11:02:50.146,-0.37,-0.002,0.946
11:02:50.340,-0.372,-0.003,0.932
11:02:50.537,-0.388,0.006,0.933
11:02:50.735,-0.37,-0.004,0.931
11:02:50.927,-0.34,-0.004,0.941
11:02:51.121,-0.363,-0.006,0.929
11:02:51.317,-0.368,0.006,0.936
11:02:51.512,-0.367,-0.012,0.924
11:02:51.707,-0.371,0.011,0.913
11:02:51.902,-0.364,-0.008,0.938
11:02:52.096,-0.37,-0.005,0.922
11:02:52.291,-0.359,0.011,0.936
11:02:52.486,-0.347,0.0,0.942
11:02:52.730,-0.356,0.0,0.934
11:02:52.926,-0.341,-0.022,0.97
11:02:53.120,-0.367,-0.017,0.933
11:02:53.315,-0.374,0.013,0.941
11:02:53.511,-0.358,-0.004,0.965
11:02:53.706,-0.366,0.0,0.925
11:02:53.902,-0.362,0.008,0.934
11:02:54.094,-0.365,-0.008,0.925
11:02:54.290,-0.376,0.017,0.929
11:02:54.484,-0.339,-0.004,0.938
11:02:54.679,-0.369,0.017,0.928
11:02:54.876,-0.361,0.006,0.922
11:02:55.070,-0.348,-0.01,0.949
11:02:55.264,-0.36,-0.007,0.943
11:02:55.460,-0.35,0.015,0.936
11:02:55.655,-0.373,0.004,0.933
11:02:55.849,-0.361,0.007,0.922
11:02:56.044,-0.348,0.002,0.933
11:02:56.239,-0.394,-0.009,0.933
11:02:56.435,-0.376,0.016,0.903
11:02:56.630,-0.383,0.004,0.927
11:02:56.824,-0.366,-0.004,0.923
11:02:57.068,-0.37,-0.006,0.938
11:02:57.263,-0.369,0.005,0.926
11:02:57.458,-0.373,0.009,0.937
11:02:57.653,-0.358,-0.004,0.94
11:02:57.848,-0.364,0.006,0.926
11:02:58.043,-0.353,-0.034,0.943
11:02:58.238,-0.367,0.015,0.926
11:02:58.433,-0.35,0.017,0.928
11:02:58.628,-0.412,-0.035,0.911
11:02:58.823,-0.386,-0.007,0.938
11:02:59.019,-0.367,0.0,0.911
11:02:59.213,-0.379,-0.012,0.923
11:02:59.409,-0.367,0.004,0.922
11:02:59.603,-0.363,-0.025,0.933
11:02:59.798,-0.367,-0.004,0.926
11:02:59.993,-0.363,-0.016,0.916
11:03:00.188,-0.369,-0.017,0.931
11:03:00.383,-0.388,-0.004,0.946
11:03:00.579,-0.348,-0.023,0.919
11:03:00.774,-0.37,0.004,0.931
11:03:00.968,-0.375,0.008,0.929
11:03:01.163,-0.366,0.005,0.911
11:03:01.407,-0.386,-0.006,0.939
11:03:01.602,-0.393,-0.004,0.926
11:03:01.797,-0.391,-0.002,0.93
11:03:01.992,-0.364,-0.009,0.926
11:03:02.187,-0.38,0.002,0.937
11:03:02.382,-0.379,-0.01,0.931
11:03:02.577,-0.355,-0.002,0.934
11:03:02.771,-0.372,0.018,0.911
11:03:02.966,-0.39,-0.015,0.943
11:03:03.161,-0.374,-0.02,0.935
11:03:03.357,-0.366,0.015,0.928
11:03:03.551,-0.4,-0.009,0.947
11:03:03.747,-0.388,-0.013,0.935
11:03:03.942,-0.384,-0.009,0.942
11:03:04.136,-0.513,0.051,0.828
11:03:04.332,-0.651,0.129,0.786
